CODE_PDV;RAISON_SOCIALE;COMMERCIAL;ID_UNIQUE
94009;CENTRE LECLERC;112C;2AHUI1ZDQP4
94010;GEANT;111C;2AHUI3MX3PN
94011;CARREFOUR;111C;2AHUI5AGC4H
94013;CENTRE LECLERC;111C;2AHUI6XZOEG
94015;MARKET;111C;2AHUI8LJ2SV
94017;INTERMARCHE SUPER;112C;2AHUIA92KCG
94021;CENTRE LECLERC;112C;2AHUIF7OKDP
94022;CENTRE LECLERC;111C;2AHUIGV7YDA
94101;AUCHAN SUPERMARCHE;111P;2AHUL9R040Y
94103;FRANPRIX;111C;2AHULBEJBJC
94104;CARREFOUR CITY;111P;2AHULD22T8Y
94105;FRANPRIX;111C;2AHULEPM5HZ
94107;MARKET;111C;2AHULGD5HTB
94108;U EXPRESS;111P;2AHULI0OUPH
94110;MONOPRIX;111P;2AHULJO82A4
94115;FRANPRIX;111C;2AHULQADLIP
94116;FRANPRIX;111C;2AHULRXWSEQ
94118;MONOPRIX;111P;2AHULTLG88Z
94119;G 20;112C;2AHULV8ZIWY
94120;INTERMARCHE EXPRESS;112P;2AHULWWISOK
94123;MONOPRIX;111P;2AHUM1V4UMQ
94125;FRANPRIX;111C;2AHUM567PAW
94126;INTERMARCHE SUPER;111C;2AHUM6TR1G1
94128;SUPER FRAIS MARKET;111C;2AHUMA4TMS4
94129;G 20;111C;2AHUMBSD2TF
94134;CARREFOUR MARKET;112C;2AHUMF3FQR2
94135;FRANPRIX;112P;2AHUMGQZ2KV
94136;FRANPRIX;112C;2AHUMIEIFYC
94138;AUCHAN SUPERMARCHE;112P;2AHUMLPKZZN
94146;FRANPRIX;112P;2AHUMTZ9W1A
94157;U EXPRESS;111P;2AHUN3WHXN9
94158;AUCHAN SUPERMARCHE;111P;2AHUN5K1CA4
94161;MONOPRIX;111P;2AHUN8V3VQV
94167;AUCHAN SUPERMARCHE;111P;2AHUNC66QG9
94168;SUPER U;111C;2AHUNDTPWZF
94169;FRANPRIX;111P;2AHUNFH9EE3
94172;AUCHAN SUPERMARCHE;111P;2AHUNKFVH15
94174;COLRUYT;111C;2AHUNNQY4KB
94178;FRANPRIX;111C;2AHUNR20SGM
94179;INTERMARCHE SUPER;111C;2AHUNSPK3QM
94184;CASINO;112P;2AHUNXO63JU
94185;INTERMARCHE SUPER;111C;2AHUNZBPJ1C
94186;AUCHAN SUPERMARCHE;111C;2AHUO0Z8SRY
94187;FRANPRIX;111C;2AHUO2MS39K
94188;CASINO;112P;2AHUO4ABLO5
94189;CARREFOUR;112C;2AHUO5XUSYC
94190;MONOPRIX;112P;2AHUO7LEBYL
94191;FRANPRIX;112C;2AHUO98XJFR
94193;FRANPRIX;111P;2AHUOAWGY9E
94197;CASINO;111P;2AHUOCK0DBN
94199;FRANPRIX;112C;2AHUOFV2Z6Y
94201;FRANPRIX;111C;2AHUOJ65RBI
94202;FRANPRIX;111C;2AHUOKTP32F
94208;FRANPRIX;111C;2AHUOT3DQRE
94209;INTERMARCHE EXPRESS;111C;2AHUOUQX3GE
94210;FRANPRIX;112C;2AHUOWEGGA6
94211;AUCHAN SUPERMARCHE;111P;2AHUOY1ZPSX
94215;INTERMARCHE SUPER;112C;2AHUP1D2IE2
94217;INTERMARCHE SUPER;111C;2AHUP30LUFI
94218;AUCHAN SUPERMARCHE;111P;2AHUP4O57K2
94219;AUCHAN SUPERMARCHE;112P;2AHUP6BOIGY
94220;FRANPRIX;112C;2AHUP7Z7RTM
94222;INTERMARCHE SUPER;112C;2AHUPBAALKL
94223;CARREFOUR MARKET;111P;2AHUPCXTXJZ
94226;FRANPRIX;112C;2AHUPHWFXGS
94227;INTERMARCHE SUPER;111C;2AHUPJJZBXH
94228;AUCHAN SUPERMARCHE;111P;2AHUPL7ILKO
94230;CARREFOUR MARKET;111C;2AHUPOILA2G
94231;FRANPRIX;111C;2AHUPQ64P3P
94233;FRANPRIX;112C;2AHUPRTO2PV
94235;INTERMARCHE SUPER;111P;2AHUPV4QOI1
94238;FRANPRIX;112C;2AHUPYFTBVF
94240;MARKET;111C;2AHUQ1QW2UT
94242;FRANPRIX;111C;2AHUQ3EFHOU
94243;FRANPRIX;111C;2AHUQ51YTA2
94244;FRANPRIX;112C;2AHUQ6PI8NR
94246;MONOP';111C;2AHUQ8D1LP2
94250;G 20;111C;2AHUQBO43E9
94251;A2 PAS;111C;2AHUQDBNMKL
94253;CASINO;112P;2AHUQGMQ8SG
94254;FRANPRIX;112C;2AHUQIA9MJ2
94255;CASINO;111P;2AHUQJXSY9G
94256;CARREFOUR CITY;112P;2AHUQLLCC25
94262;G 20;111C;2AHUQS7HON1
94264;FRANPRIX;111C;2AHUQVIKB53
94267;FRANPRIX;111C;2AHUR0H6GE5
94269;CARREFOUR CITY;111C;2AHUR3S96MB
94270;FRANPRIX;112C;2AHUR5FSHYK
94274;G 20;111C;2AHUR8QV47M
94275;FRANPRIX;111C;2AHURAEEJVN
94282;LECLERC EXPRESS;111P;2AHURKBMICA
94283;CARREFOUR CITY;111C;2AHURLZ5TIR
94286;CARREFOUR CITY;111C;2AHURQXS0HM
94287;FRANPRIX;112C;2AHURSLBAMC
94290;CARREFOUR MARKET;112C;2AHURXJXCI1
94295;E. LECLERC DRIVE;112C;2AHUS462TEC
94298;MARKET;112C;2AHUS7H5ERL
94405;FRANPRIX;111C;2AHUSHEDI72
94406;FRANPRIX;111C;2AHUSJ1WSRV
94422;G 20;112C;2AHUSXXR1G7
94426;FRANPRIX;111C;2AHUT2WCYW3
94430;G 20;112C;2AHUT9IIEYU
94431;CONTACT MARCHE;111C;2AHUTB61OGJ
94434;FRANPRIX;112C;2AHUTEH4ETF
94452;LEADER PRICE EXPRESS;112C;2AHUTL39X9Z
94463;FRANPRIX;112C;2AHUTQ1VSIL
94474;FRANPRIX;111C;2AHUTV0HXUZ
94480;FRANPRIX;111C;2AHUU1MNCML
94481;FRANPRIX;111P;2AHUU3A6KHF
94499;CARREFOUR CONTACT;111C;2AHUUI60QI4
94500;FRANPRIX;112C;2AHUUJTK3SG
94513;G 20;112C;2AHUUOS65BL
94524;FRANPRIX;112C;2AHUUX1UWQO
94530;FRANPRIX;111C;2AHUV0CXJ4J
94547;G 20;111C;2AHUVBXP160
94551;G 20;112C;2AHUVIJUDKR
94558;CARREFOUR EXPRESS;112C;2AHUVU4LX99
94560;SITIS;112C;2AHUVVS59H9
94570;FRANPRIX;111C;2AHUW41TZB1
94571;FRANPRIX;111C;2AHUW5PD7AH
94576;FRANPRIX;111C;2AHUWCBIPHJ
94577;FRANPRIX;111C;2AHUWDZ1ZWB
94580;FRANPRIX;111C;2AHUWIXO1MR
94584;CARREFOUR CONTACT;111C;2AHUWPJTIYW
94585;CARREFOUR CITY;111C;2AHUWR7CRHF
94587;CARREFOUR CONTACT;111C;2AHUWUIFDXU
94589;CARREFOUR CONTACT;112C;2AHUWXTI4KR
94592;CARREFOUR CITY;111C;2AHUX2S45ZJ
94593;CONTACT MARCHE;111C;2AHUX4FNMS3
94598;FRANPRIX;111C;2AHUXCPC93Y
94601;E. LECLERC DRIVE;111C;2AHUXHNYD7N
94607;DIAGONAL;112C;2AHUXRL6FP3
94608;PETIT CASINO;112C;2AHUXT8PO87
94613;CORA DRIVE;112C;2AHUY1IELFM
94617;SITIS;112C;2AHUY84JSOJ
94626;G 20;112C;2AYZ64CKRP4
94627;G 20;112C;2AYZ660447O
